CódigoFabrico;CódigoComercial;Descrição Breve;Descrição Completa;Unidade;Categoria;
5300004;3,2008E+11;Rolos - 5019 Profile;Rolos - 5019 Profile;UN;PA-RL;
5300005;3,2008E+11;Rolos - 5313;Rolos - 5313;UN;PA-RL;
5300006;3,2008E+11;Rolos - 5351;Rolos - 5351;UN;PA-RL;
5300007;3,2008E+11;Rolos - 5400 Profile;Rolos - 5400 Profile;UN;PA-RL;
5300008;3,2008E+11;Rolos - 8201;Rolos - 8201;UN;PA-RL;
5300009;3,2008E+11;Rolos - 8202;Rolos - 8202;UN;PA-RL;
5300010;3,2008E+11;Rolos - 8203;Rolos - 8203;UN;PA-RL;
5300011;3,2008E+11;Rolos - 8204;Rolos - 8204;UN;PA-RL;
5300012;3,2008E+11;Rolos - 8205;Rolos - 8205;UN;PA-RL;
5300013;3,2008E+11;Rolos - 8206;Rolos - 8206;UN;PA-RL;
5300014;3,2008E+11;Rolos - 8207;Rolos - 8207;UN;PA-RL;
5300015;3,2008E+11;Rolos - 8209;Rolos - 8209;UN;PA-RL;
5300016;3,2008E+11;Rolos - 8210;Rolos - 8210;UN;PA-RL;
5300017;3,2008E+11;Rolos - 8210 Profile;Rolos - 8210 Profile;UN;PA-RL;
5300018;3,2008E+11;Rolos - 8214;Rolos - 8214;UN;PA-RL;
5300019;3,2008E+11;Rolos - 8216;Rolos - 8216;UN;PA-RL;
5300020;3,2008E+11;Rolos - 8219;Rolos - 8219;UN;PA-RL;
5300021;3,2008E+11;Rolos - 8220;Rolos - 8220;UN;PA-RL;
5300022;3,2008E+11;Rolos - 8221;Rolos - 8221;UN;PA-RL;
5300023;3,2008E+11;Rolos - 8222;Rolos - 8222;UN;PA-RL;
5300024;3,2008E+11;Rolos - 8225;Rolos - 8225;UN;PA-RL;
5300025;3,2008E+11;Rolos - 8226;Rolos - 8226;UN;PA-RL;
5300026;3,2008E+11;Rolos - 8229;Rolos - 8229;UN;PA-RL;
5300027;3,2008E+11;Rolos - 8230;Rolos - 8230;UN;PA-RL;
5300028;3,2008E+11;Rolos - 8231;Rolos - 8231;UN;PA-RL;
5300029;3,2008E+11;Rolos - 8232;Rolos - 8232;UN;PA-RL;
5300030;3,2008E+11;Rolos - 8235;Rolos - 8235;UN;PA-RL;
5300031;3,2008E+11;Rolos - 8236;Rolos - 8236;UN;PA-RL;
5300032;3,2008E+11;Rolos - 8240;Rolos - 8240;UN;PA-RL;
5300033;3,2008E+11;Rolos - 8242;Rolos - 8242;UN;PA-RL;
5300034;3,2008E+11;Rolos - 8244;Rolos - 8244;UN;PA-RL;
5300035;3,2008E+11;Rolos - 8244 Profile;Rolos - 8244 Profile;UN;PA-RL;
5300036;3,2008E+11;Rolos - 8245;Rolos - 8245;UN;PA-RL;
5300037;3,2008E+11;Rolos - 8245 Profile;Rolos - 8245 Profile;UN;PA-RL;
5300038;3,2008E+11;Rolos - 8246;Rolos - 8246;UN;PA-RL;
5300039;3,2008E+11;Rolos - 8247;Rolos - 8247;UN;PA-RL;
5300040;3,2008E+11;Rolos - 8248;Rolos - 8248;UN;PA-RL;
5300041;3,2008E+11;Rolos - 8248 Profile;Rolos - 8248 Profile;UN;PA-RL;
5300042;3,2008E+11;Rolos - 8249;Rolos - 8249;UN;PA-RL;
5300043;3,2008E+11;Rolos - 8250;Rolos - 8250;UN;PA-RL;
5300044;3,2008E+11;Rolos - 8251;Rolos - 8251;UN;PA-RL;
5300045;3,2008E+11;Rolos - 8252;Rolos - 8252;UN;PA-RL;
5300046;3,2008E+11;Rolos - 8253;Rolos - 8253;UN;PA-RL;
5300047;3,2008E+11;Rolos - 8254;Rolos - 8254;UN;PA-RL;
5300048;3,2008E+11;Rolos - 8255;Rolos - 8255;UN;PA-RL;
5300049;3,2008E+11;Rolos - 8256;Rolos - 8256;UN;PA-RL;
5300050;3,2008E+11;Rolos - 8257;Rolos - 8257;UN;PA-RL;
5300051;3,2008E+11;Rolos - 8258;Rolos - 8258;UN;PA-RL;
5300052;3,2008E+11;Rolos - 8259;Rolos - 8259;UN;PA-RL;
5300053;3,2008E+11;Rolos - 8260;Rolos - 8260;UN;PA-RL;
5300054;3,2008E+11;Rolos - 8261;Rolos - 8261;UN;PA-RL;
5300055;3,2008E+11;Rolos - 8262;Rolos - 8262;UN;PA-RL;
5300056;3,2008E+11;Rolos - 8263;Rolos - 8263;UN;PA-RL;
5300057;3,2008E+11;Rolos - 8264;Rolos - 8264;UN;PA-RL;
5300058;3,2008E+11;Rolos - 8265;Rolos - 8265;UN;PA-RL;
5300059;3,2008E+11;Rolos - 8266;Rolos - 8266;UN;PA-RL;
5300060;3,2008E+11;Rolos - 8270;Rolos - 8270;UN;PA-RL;
5300061;3,2008E+11;Rolos - 8275;Rolos - 8275;UN;PA-RL;
5300062;3,2008E+11;Rolos - 8276;Rolos - 8276;UN;PA-RL;
5300063;3,2008E+11;Rolos - 8280;Rolos - 8280;UN;PA-RL;
5300064;3,2008E+11;Rolos - 8281;Rolos - 8281;UN;PA-RL;
5300065;3,2008E+11;Rolos - 8285;Rolos - 8285;UN;PA-RL;
5300066;3,2008E+11;Rolos - 8290;Rolos - 8290;UN;PA-RL;
5300067;3,2008E+11;Rolos - 8292;Rolos - 8292;UN;PA-RL;
5300068;3,2008E+11;Rolos - 8294;Rolos - 8294;UN;PA-RL;
5300069;3,2008E+11;Rolos - 8295;Rolos - 8295;UN;PA-RL;
5300071;3,2008E+11;Rolos US;Rolos US;UN;PA-RL;
5400006;3,2008E+11;Tiras de Rolos/Placas;Tiras de Rolos/Placas;UN;PA-TR;
5400007;3,2008E+11;Triturado Broca;Triturado Broca;UN;PA-TR;
5400008;3,2008E+11;Triturado Costa;Triturado Costa;UN;PA-TR;
5400009;3,2008E+11;Triturado Especial;Triturado Especial;UN;PA-TR;
5400010;3,2008E+11;Triturado Virgem;Triturado Virgem;UN;PA-TR;
5500001;3,2008E+11;Discos c/ Vinil;Discos c/ Vinil;UN;PA-VN;
5500002;3,2008E+11;Placas c/ Vinil;Placas c/ Vinil;UN;PA-VN;
6000001;3,2009E+11;Blocos Brancos;Blocos Brancos;UN;SA-BL;
6000002;3,2009E+11;Blocos c/ Desperd.Pneu;Blocos c/ Desperd.Pneu;UN;SA-BL;
6000003;3,2009E+11;Blocos Calçado;Blocos Calçado;UN;SA-BL;
6000004;3,2009E+11;Blocos Decor;Blocos Decor;UN;SA-BL;
6000006;3,2009E+11;Blocos Parquet;Blocos Parquet;UN;SA-BL;
6100001;3,2009E+11;Solados;Solados;UN;SA-CC;
6100002;3,2009E+11;"Cilindros 36""x39""";"Cilindros 36""x39""";UN;SA-CI;
6100003;3,2009E+11;"Cilindros 40""x39""";"Cilindros 40""x39""";UN;SA-CI;
6100004;3,2009E+11;"Cilindros 42""x39""";"Cilindros 42""x39""";UN;SA-CI;
6100005;3,2009E+11;"Cilindros 49""x39""";"Cilindros 49""x39""";UN;SA-CI;
6100006;3,2009E+11;"Cilindros 50""x39""";"Cilindros 50""x39""";UN;SA-CI;
6100007;3,2009E+11;"Cilindros 54""x39""";"Cilindros 54""x39""";UN;SA-CI;
6100008;3,2009E+11;"Cilindros 60""x39""";"Cilindros 60""x39""";UN;SA-CI;
6100009;3,2009E+11;"Cilindros 62""x39""";"Cilindros 62""x39""";UN;SA-CI;
6100010;3,2009E+11;"Cilindros 64""x39""";"Cilindros 64""x39""";UN;SA-CI;
6100011;3,2009E+11;"Cilindros 72""x39""";"Cilindros 72""x39""";UN;SA-CI;
6100012;3,2009E+11;"Cilindros >50""x43""";"Cilindros >50""x43""";UN;SA-CI;
6100013;3,2009E+11;"Cilindros >54""x43""";"Cilindros >54""x43""";UN;SA-CI;
6100014;3,2009E+11;"Cilindros >56""x43""";"Cilindros >56""x43""";UN;SA-CI;
6100015;3,2009E+11;"Cilindros >60""x43""";"Cilindros >60""x43""";UN;SA-CI;
6100016;3,2009E+11;Cilindros 1 m;Cilindros 1 m;UN;SA-CI;
6100017;3,2009E+11;"CILINDROS 32""";"CILINDROS 32""";UN;SA-CI;
6100018;3,2009E+11;Cilindros 36'';Cilindros 36'';UN;SA-CI;
6100019;3,2009E+11;Cilindros 42'';Cilindros 42'';UN;SA-CI;
6100020;3,2009E+11;Cilindros 43'';Cilindros 43'';UN;SA-CI;
6100021;3,2009E+11;Cilindros 48'';Cilindros 48'';UN;SA-CI;
6100022;3,2009E+11;Cilindros 50'';Cilindros 50'';UN;SA-CI;
6200001;3,2009E+11;Blocos CR;Blocos CR;UN;SA-CR;
6200002;3,2009E+11;Cilindros Caland. CR;Cilindros Caland. CR;UN;SA-CR;
6200003;3,2009E+11;Cilindros Ply-up CR;Cilindros Ply-up CR;UN;SA-CR;
6200004;3,2009E+11;Folhas CR;Folhas CR;UN;SA-CR;
6200005;3,2009E+11;Misturas;Misturas;UN;SA-CR;
6200006;3,2009E+11;Rolos CR;Rolos CR;UN;SA-CR;
6300001;3,2009E+11;Desp.Moídos Borracha;Desp.Moídos Borracha;UN;SA-DM;
6300002;3,2009E+11;Desp.Moídos Folhas;Desp.Moídos Folhas;UN;SA-DM;
6300003;3,2009E+11;Desp.Moídos RH;Desp.Moídos RH;UN;SA-DM;
6300004;3,2009E+11;Blocos DS;Blocos DS;UN;SA-DS;
6300005;3,2009E+11;Cilindros DS;Cilindros DS;UN;SA-DS;
6300006;3,2009E+11;Folhas DS;Folhas DS;UN;SA-DS;
6300007;3,2009E+11;Misturas;Misturas;UN;SA-DS;
6300008;3,2009E+11;Rolos DS;Rolos DS;UN;SA-DS;
6300009;3,2009E+11;Fl.Prensadas Parq.Dec;Fl.Prensadas Parq.Dec;UN;SA-FP;
6300011;3,2009E+11;Fl.Prensadas Stabyll;Fl.Prensadas Stabyll;UN;SA-FP;
6400001;3,2009E+11;Granulado AD;Granulado AD;UN;SA-GH;
6400002;3,2009E+11;Granulado ADR;Granulado ADR;UN;SA-GH;
6400003;3,2009E+11;Granulado ADTR;Granulado ADTR;UN;SA-GH;
6400004;3,2009E+11;Granulado BD 2/3;Granulado BD 2/3;UN;SA-GH;
6400005;3,2009E+11;Granulado BD Fino;Granulado BD Fino;UN;SA-GH;
6400006;3,2009E+11;Granulado BD Grosso;Granulado BD Grosso;UN;SA-GH;
6400007;3,2009E+11;Granulado BD/MD;Granulado BD/MD;UN;SA-GH;
6400008;3,2009E+11;Granulado MD;Granulado MD;UN;SA-GH;
6400009;3,2009E+11;Granulado MDR;Granulado MDR;UN;SA-GH;
6400010;3,2009E+11;Granulado MF;Granulado MF;UN;SA-GH;
6400011;3,2009E+11;Granulado Mistura;Granulado Mistura;UN;SA-GH;
6500001;3,2009E+11;Especialidades;Especialidades;UN;SA-GI;
6500002;3,2009E+11;Garrafeiras;Garrafeiras;UN;SA-GI;
6500003;3,2009E+11;Memoboards;Memoboards;UN;SA-GI;
6500006;3,2009E+11;Tablemats/Disney;Tablemats/Disney;UN;SA-GI;
6500007;3,2009E+11;Trivets;Trivets;UN;SA-GI;
6600001;3,2009E+11;Granulado AD Seco;Granulado AD Seco;UN;SA-GS;
6600002;3,2009E+11;Granulado BD 2/3 Seco;Granulado BD 2/3 Seco;UN;SA-GS;
6600003;3,2009E+11;Granulado BD Fino Seco;Granulado BD Fino Seco;UN;SA-GS;
6600004;3,2009E+11;Granulado BD Grosso Sc;Granulado BD Grosso Sc;UN;SA-GS;
6600005;3,2009E+11;Granulado BD/MD Seco;Granulado BD/MD Seco;UN;SA-GS;
6600006;3,2009E+11;Granulado Falca Seco;Granulado Falca Seco;UN;SA-GS;
6600007;3,2009E+11;Granulado MD Seco;Granulado MD Seco;UN;SA-GS;
6600008;3,2009E+11;Granulado Mistura Seco;Granulado Mistura Seco;UN;SA-GS;
6700001;3,2009E+11;Folhas de Quadros CR;Folhas de Quadros CR;UN;SA-JC;
6700002;3,2009E+11;Juntas CR;Juntas CR;UN;SA-JC;
6700004;3,2009E+11;Quadros CR;Quadros CR;UN;SA-JC;
6700005;3,2009E+11;Folhas de Quadros DS;Folhas de Quadros DS;UN;SA-JD;
6700006;3,2009E+11;Juntas DS;Juntas DS;UN;SA-JD;
6700008;3,2009E+11;Quadros DS;Quadros DS;UN;SA-JD;
7000001;3,2009E+11;Decor;Decor;UN;SA-PL;
7000002;3,2009E+11;Parquet;Parquet;UN;SA-PL;
7000003;3,2009E+11;Placas Brancos;Placas Brancos;UN;SA-PL;
7000004;3,2009E+11;Placas Brancos>=100;Placas Brancos>=100;UN;SA-PL;
7000005;3,2009E+11;Placas Calçado;Placas Calçado;UN;SA-PL;
7000006;3,2009E+11;Placas Calçado>=100;Placas Calçado>=100;UN;SA-PL;
7000009;3,2009E+11;Rodapés;Rodapés;UN;SA-PL;
7000010;3,2009E+11;Stabyll;Stabyll;UN;SA-PL;
7000011;3,2009E+11;Pó Cortiça c/ Borracha;Pó Cortiça c/ Borracha;UN;SA-PO;
7000012;3,2009E+11;Pó de Cortiça;Pó de Cortiça;UN;SA-PO;
7000013;3,2009E+11;Folhas de Rolos;Folhas de Rolos;UN;SA-RF;
7000014;3,2009E+11;Rolos;Rolos;UN;SA-RF;
7000015;3,2009E+11;Rolos para Mini-Rolos;Rolos para Mini-Rolos;UN;SA-RM;
7000016;3,2009E+11;Triturado Barrigas;Triturado Barrigas;UN;SA-TR;
7000017;3,2009E+11;Triturado Broca;Triturado Broca;UN;SA-TR;
7000018;3,2009E+11;Triturado Crú;Triturado Crú;UN;SA-TR;
7000019;3,2009E+11;Triturado Especial;Triturado Especial;UN;SA-TR;
7000020;3,2009E+11;Triturado Grossa;Triturado Grossa;UN;SA-TR;
7000021;3,2009E+11;Triturado Virgem;Triturado Virgem;UN;SA-TR;
7000022;3,2009E+11;Triturados Mistura;Triturados Mistura;UN;SA-TR;
7000023;3,2009E+11;Fl.Prens.Discos Vinil;Fl.Prens.Discos Vinil;UN;SA-VN;
